state,year,quarter,district,count,amount
andaman-&-nicobar-islands,2022,1,south andaman,692,982206.0
andaman-&-nicobar-islands,2022,1,north and middle andaman,48,85229.0
andaman-&-nicobar-islands,2022,1,nicobars,28,63852.0
andaman-&-nicobar-islands,2022,2,south andaman,430,633029.0
andaman-&-nicobar-islands,2022,2,north and middle andaman,45,90403.0
andaman-&-nicobar-islands,2022,2,nicobars,26,56308.0
andaman-&-nicobar-islands,2022,3,south andaman,535,687813.0
andaman-&-nicobar-islands,2022,3,north and middle andaman,70,129013.0
andaman-&-nicobar-islands,2022,3,nicobars,38,85640.0
andaman-&-nicobar-islands,2022,4,south andaman,750,1114857.0
andaman-&-nicobar-islands,2022,4,north and middle andaman,112,224198.0
andaman-&-nicobar-islands,2022,4,nicobars,39,102155.0
andaman-&-nicobar-islands,2024,1,south andaman,1190,1657627.0
andaman-&-nicobar-islands,2024,1,north and middle andaman,125,229226.0
andaman-&-nicobar-islands,2024,1,nicobars,56,77703.0
andaman-&-nicobar-islands,2024,2,south andaman,974,1513489.0
andaman-&-nicobar-islands,2024,2,north and middle andaman,74,164686.0
andaman-&-nicobar-islands,2024,2,nicobars,49,66519.0
andaman-&-nicobar-islands,2024,3,south andaman,1044,1530179.0
andaman-&-nicobar-islands,2024,3,north and middle andaman,95,151791.0
andaman-&-nicobar-islands,2024,3,nicobar,51,68638.0
andaman-&-nicobar-islands,2024,3,nicobars,1,2192.0
andaman-&-nicobar-islands,2024,4,south andaman,1085,1670015.0
andaman-&-nicobar-islands,2024,4,north and middle andaman,131,219770.0
andaman-&-nicobar-islands,2024,4,nicobar,77,136595.0
andaman-&-nicobar-islands,2023,1,south andaman,872,1172083.0
andaman-&-nicobar-islands,2023,1,north and middle andaman,85,178969.0
andaman-&-nicobar-islands,2023,1,nicobars,47,88146.0
andaman-&-nicobar-islands,2023,2,south andaman,670,1060976.0
andaman-&-nicobar-islands,2023,2,north and middle andaman,56,109742.0
andaman-&-nicobar-islands,2023,2,nicobars,42,62677.0
andaman-&-nicobar-islands,2023,3,south andaman,682,1052324.0
andaman-&-nicobar-islands,2023,3,north and middle andaman,77,133536.0
andaman-&-nicobar-islands,2023,3,nicobars,36,65285.0
andaman-&-nicobar-islands,2023,4,south andaman,1006,1504528.0
andaman-&-nicobar-islands,2023,4,north and middle andaman,95,156995.0
andaman-&-nicobar-islands,2023,4,nicobars,44,96298.0
andaman-&-nicobar-islands,2021,1,south andaman,164,167044.0
andaman-&-nicobar-islands,2021,1,north and middle andaman,48,63978.0
andaman-&-nicobar-islands,2021,1,nicobars,13,13244.0
andaman-&-nicobar-islands,2021,2,south andaman,105,121104.0
andaman-&-nicobar-islands,2021,2,north and middle andaman,28,45311.0
andaman-&-nicobar-islands,2021,2,nicobars,4,15089.0
andaman-&-nicobar-islands,2021,3,south andaman,182,223699.0
andaman-&-nicobar-islands,2021,3,north and middle andaman,33,50997.0
andaman-&-nicobar-islands,2021,3,nicobars,15,30539.0
andaman-&-nicobar-islands,2021,4,south andaman,632,800758.0
andaman-&-nicobar-islands,2021,4,north and middle andaman,81,182061.0
andaman-&-nicobar-islands,2021,4,nicobars,44,73561.0
andaman-&-nicobar-islands,2020,2,nicobars,3,565.0
andaman-&-nicobar-islands,2020,2,south andaman,3,795.0
andaman-&-nicobar-islands,2020,3,south andaman,35,13651.0
andaman-&-nicobar-islands,2020,3,nicobars,5,1448.0
andaman-&-nicobar-islands,2020,3,north and middle andaman,1,281.0
andaman-&-nicobar-islands,2020,4,south andaman,109,137494.0
andaman-&-nicobar-islands,2020,4,north and middle andaman,13,17734.0
andaman-&-nicobar-islands,2020,4,nicobars,2,2747.0
tamil-nadu,2022,1,chennai,9138,9949256.0
tamil-nadu,2022,1,thiruvallur,5793,7146597.0
tamil-nadu,2022,1,coimbatore,4682,6798923.0
tamil-nadu,2022,1,chengalpattu,4588,5867983.0
tamil-nadu,2022,1,kancheepuram,3182,3910459.0
tamil-nadu,2022,1,tiruppur,2393,3287882.0
tamil-nadu,2022,1,madurai,1996,2487362.0
tamil-nadu,2022,1,krishnagiri,1582,2435788.0
tamil-nadu,2022,1,salem,1415,2147587.0
tamil-nadu,2022,1,erode,1139,1890815.0
tamil-nadu,2022,2,chennai,8966,9428379.0
tamil-nadu,2022,2,thiruvallur,5732,6846087.0
tamil-nadu,2022,2,chengalpattu,5135,6248146.0
tamil-nadu,2022,2,coimbatore,4859,6626440.0
tamil-nadu,2022,2,kancheepuram,3162,3846819.0
tamil-nadu,2022,2,tiruppur,2124,2931960.0
tamil-nadu,2022,2,madurai,1698,2180677.0
tamil-nadu,2022,2,krishnagiri,1589,2378328.0
tamil-nadu,2022,2,salem,1359,1934101.0
tamil-nadu,2022,2,erode,1095,1709224.0
tamil-nadu,2022,3,chennai,12059,12069618.0
tamil-nadu,2022,3,thiruvallur,7766,8767762.0
tamil-nadu,2022,3,coimbatore,6704,8554497.0
tamil-nadu,2022,3,chengalpattu,6535,7905304.0
tamil-nadu,2022,3,kancheepuram,4007,4599265.0
tamil-nadu,2022,3,tiruppur,3159,4086616.0
tamil-nadu,2022,3,madurai,2580,3145380.0
tamil-nadu,2022,3,salem,2209,2747178.0
tamil-nadu,2022,3,krishnagiri,2049,2783886.0
tamil-nadu,2022,3,erode,1604,2050237.0
