state,year,quarter,level,name,registered_users
andaman-&-nicobar-islands,2022,1,district,south andaman,63487
andaman-&-nicobar-islands,2022,1,district,north and middle andaman,10720
andaman-&-nicobar-islands,2022,1,district,nicobars,2081
andaman-&-nicobar-islands,2022,1,pincode,744103,15011
andaman-&-nicobar-islands,2022,1,pincode,744105,13070
andaman-&-nicobar-islands,2022,1,pincode,744101,12300
andaman-&-nicobar-islands,2022,1,pincode,744102,8271
andaman-&-nicobar-islands,2022,1,pincode,744202,4107
andaman-&-nicobar-islands,2022,1,pincode,744107,3455
andaman-&-nicobar-islands,2022,1,pincode,744104,3146
andaman-&-nicobar-islands,2022,1,pincode,744112,2552
andaman-&-nicobar-islands,2022,1,pincode,744211,2344
andaman-&-nicobar-islands,2022,1,pincode,744205,2034
andaman-&-nicobar-islands,2022,2,district,south andaman,66959
andaman-&-nicobar-islands,2022,2,district,north and middle andaman,11379
andaman-&-nicobar-islands,2022,2,district,nicobars,2192
andaman-&-nicobar-islands,2022,2,pincode,744103,15799
andaman-&-nicobar-islands,2022,2,pincode,744105,13791
andaman-&-nicobar-islands,2022,2,pincode,744101,12947
andaman-&-nicobar-islands,2022,2,pincode,744102,8709
andaman-&-nicobar-islands,2022,2,pincode,744202,4361
andaman-&-nicobar-islands,2022,2,pincode,744107,3674
andaman-&-nicobar-islands,2022,2,pincode,744104,3319
andaman-&-nicobar-islands,2022,2,pincode,744112,2700
andaman-&-nicobar-islands,2022,2,pincode,744211,2471
andaman-&-nicobar-islands,2022,2,pincode,744205,2162
andaman-&-nicobar-islands,2022,3,district,south andaman,70445
andaman-&-nicobar-islands,2022,3,district,north and middle andaman,11897
andaman-&-nicobar-islands,2022,3,district,nicobars,2300
andaman-&-nicobar-islands,2022,3,pincode,744103,16666
andaman-&-nicobar-islands,2022,3,pincode,744105,14503
andaman-&-nicobar-islands,2022,3,pincode,744101,13649
andaman-&-nicobar-islands,2022,3,pincode,744102,9148
andaman-&-nicobar-islands,2022,3,pincode,744202,4572
andaman-&-nicobar-islands,2022,3,pincode,744107,3868
andaman-&-nicobar-islands,2022,3,pincode,744104,3493
andaman-&-nicobar-islands,2022,3,pincode,744112,2837
andaman-&-nicobar-islands,2022,3,pincode,744211,2577
andaman-&-nicobar-islands,2022,3,pincode,744205,2268
andaman-&-nicobar-islands,2022,4,district,south andaman,73692
andaman-&-nicobar-islands,2022,4,district,north and middle andaman,12361
andaman-&-nicobar-islands,2022,4,district,nicobars,2389
andaman-&-nicobar-islands,2022,4,pincode,744103,17406
andaman-&-nicobar-islands,2022,4,pincode,744105,15185
andaman-&-nicobar-islands,2022,4,pincode,744101,14337
andaman-&-nicobar-islands,2022,4,pincode,744102,9591
andaman-&-nicobar-islands,2022,4,pincode,744202,4760
